2017-05-02 13:22:24,338 [Thread-1] INFO  marytts.Preprocess Module shut down.
2017-05-02 13:22:24,338 [Thread-1] INFO  marytts.JPhonemiser Module shut down.
2017-05-02 13:22:24,338 [Thread-1] INFO  marytts.JPhonemiser Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.Prosody Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.SimplePhoneme2AP Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.PronunciationModel Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.OpenNLPPosTagger Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.Synthesis Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.TextToMaryXML Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.SableParser Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.SSMLParser Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.APMLParser Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.EmotionmlParser Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.JTokeniser Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.DummyTokens2Words Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.Prosody Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.PronunciationModel Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.TargetFeatureLister Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.TargetFeatureLister Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.AcousticModeller Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.Realised acoustparams extractor Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.Realised durations extractor Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.HTSEngine Module shut down.
2017-05-02 13:22:24,339 [Thread-1] INFO  marytts.Praat TextGrid generator Module shut down.
2017-05-02 13:22:24,340 [Thread-1] INFO  marytts.main Shutdown complete.
