2017-05-02 13:20:32,433 [main] INFO  marytts.R 1    Prosody took 2 ms
2017-05-02 13:20:32,433 [main] INFO  marytts.R 1    PronunciationModel took 0 ms
2017-05-02 13:20:32,433 [main] INFO  marytts.R 1    AcousticModeller took 15 ms
2017-05-02 13:20:32,433 [main] INFO  marytts.R 1    Synthesis took 58 ms
2017-05-02 13:20:34,115 [main] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "dfki-poppy-hsmm", audio "WAVE")
2017-05-02 13:20:34,116 [main] INFO  marytts.R 1 Handling request using the following modules:
2017-05-02 13:20:34,116 [main] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2017-05-02 13:20:34,116 [main] INFO  marytts.R 1 Next module: TextToMaryXML
2017-05-02 13:20:34,116 [main] INFO  marytts.R 1 Handling request using the following modules:
2017-05-02 13:20:34,116 [main] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2017-05-02 13:20:34,116 [main] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2017-05-02 13:20:34,116 [main] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2017-05-02 13:20:34,116 [main] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2017-05-02 13:20:34,116 [main] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2017-05-02 13:20:34,116 [main] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2017-05-02 13:20:34,116 [main] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2017-05-02 13:20:34,116 [main] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2017-05-02 13:20:34,116 [main] INFO  marytts.R 1 Next module: JTokeniser
2017-05-02 13:20:34,117 [main] INFO  marytts.R 1 Next module: Preprocess
2017-05-02 13:20:34,131 [main] INFO  marytts.R 1 Next module: OpenNLPPosTagger
2017-05-02 13:20:34,132 [main] INFO  marytts.R 1 Next module: JPhonemiser
2017-05-02 13:20:34,133 [main] INFO  marytts.R 1 Next module: Prosody
2017-05-02 13:20:34,134 [main] INFO  marytts.R 1 Next module: PronunciationModel
2017-05-02 13:20:34,135 [main] INFO  marytts.R 1 Next module: AcousticModeller
2017-05-02 13:20:34,138 [main] INFO  marytts.ParameterGeneration Parameter generation for LF0: 
2017-05-02 13:20:34,138 [main] INFO  marytts.PStream Global variance optimization
2017-05-02 13:20:34,139 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:34,139 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=1
2017-05-02 13:20:34,139 [main] INFO  marytts.R 1 Next module: Synthesis
2017-05-02 13:20:34,139 [main] INFO  marytts.HMMSynthesizer Synthesizing one sentence.
2017-05-02 13:20:34,139 [main] INFO  marytts.HTSEngine Using prosody from acoustparams.
2017-05-02 13:20:34,140 [main] INFO  marytts.HTSEngine Number of models in sentence numModel=14  Total number of states numState=70
2017-05-02 13:20:34,140 [main] INFO  marytts.HTSEngine Total number of frames=339  Number of voiced frames=176
2017-05-02 13:20:34,141 [main] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2017-05-02 13:20:34,141 [main] INFO  marytts.PStream Global variance optimization
2017-05-02 13:20:34,142 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
